review,sentiment
"films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before .",positive
"for starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen .",positive
to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd .,positive
"the book ( or "" graphic novel , "" if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes .",positive
"in other words , don't dismiss this film because of its source .",positive
"if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes .",positive
"getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ?",positive
"the ghetto in question is , of course , whitechapel in 1888 london's east end .",positive
"it's a filthy , sooty place where the whores ( called "" unfortunates "" ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision .",positive
"when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case .",positive
"abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium .",positive
"upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach .",positive
"i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay .",positive
"in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ? rables ) do a good job of keeping him hidden from viewers until the very end .",positive
"it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts .",positive
"and from hell's ending had me whistling the stonecutters song from the simpsons for days ( "" who holds back the electric car/who made steve guttenberg a star ? "" ) .",positive
don't worry - it'll all make sense when you see it .,positive
"now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) .",positive
"the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic .",positive
oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place .,positive
"even the acting in from hell is solid , with the dreamy depp turning in a typically strong performance and deftly handling a british accent .",positive
"ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham .",positive
"i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad .",positive
"the film , however , is all good .",positive
"2 : 00 - r for strong violence/gore , sexuality , language and drug content",positive
"every now and then a movie comes along from a suspect studio , with every indication that it will be a stinker , and to everybody's surprise ( perhaps even the studio ) the film becomes a critical darling .",positive
"mtv films' _election , a high school comedy starring matthew broderick and reese witherspoon , is a current example .",positive
did anybody know this film existed a week before it opened ?,positive
the plot is deceptively simple .,positive
george washington carver high school is having student elections .,positive
"tracy flick ( reese witherspoon ) is an over-achiever with her hand raised at nearly every question , way , way , high .",positive
"mr . "" m "" ( matthew broderick ) , sick of the megalomaniac student , encourages paul , a popular-but-slow jock to run .",positive
"and paul's nihilistic sister jumps in the race as well , for personal reasons .",positive
"the dark side of such sleeper success is that , because expectations were so low going in , the fact that this was quality stuff made the reviews even more enthusiastic than they have any right to be .",positive
"you can't help going in with the baggage of glowing reviews , which is in contrast to the negativeative baggage that the reviewers were likely to have .",positive
"_election , a good film , does not live up to its hype .",positive
"what makes _election_ so disappointing is that it contains significant plot details lifted directly from _rushmore_ , released a few months earlier .",positive
the similarities are staggering :,positive
"tracy flick ( _election_ ) is the president of an extraordinary number of clubs , and is involved with the school play .",positive
"max fischer ( _rushmore_ ) is the president of an extraordinary number of clubs , and is involved with the school play .",positive
the most significant tension of _election_ is the potential relationship between a teacher and his student .,positive
the most significant tension of _rushmore_ is the potential relationship between a teacher and his student .,positive
"tracy flick is from a single parent home , which has contributed to her drive .",positive
"max fischer is from a single parent home , which has contributed to his drive .",positive
"the male bumbling adult in _election_ ( matthew broderick ) pursues an extramarital affair , gets caught , and his whole life is ruined .",positive
he even gets a bee sting .,positive
"the male bumbling adult in _rushmore_ ( bill murray ) pursues an extramarital affair , gets caught , and his whole life is ruined .",positive
he gets several bee stings .,positive
and so on .,positive
what happened ?,positive
"how is it that an individual screenplay ( _rushmore_ ) and a novel ( _election_ ) contain so many significant plot points , and yet both films were probably not even aware of each other , made from two different studios , from a genre ( the high school geeks revenge movie ) that hadn't been fully formed yet ?",positive
"even so , the strengths of _election_ rely upon its fantastic performances from broderick , witherspoon , and newcomer jessica campbell , as paul's anti-social sister , tammy .",positive
"broderick here is playing the mr . rooney role from _ferris bueller_ , and he seems to be having the most fun he's had since then .",positive
witherspoon is a revelation .,positive
"it's early in the year , it's a comedy , and teenagers have little clout , but for my money , witherspoon deserves an oscar nomination .",positive
"and once campbell's character gets going , like in her fantastic speech in the gymnasium , then you're won over .",positive
one thing that's been bothering me since i've seen it .,positive
there is an extraordinary amount of sexuality in this film .,positive
"i suppositivee that , coming from mtv films , i should expect no less . . .",positive
"but the film starts off light and airy , like a sitcom .",positive
"as the screws tighten , and the tensions mount , alexander payne decides to add elements that , frankly , distract from the story .",positive
"it is bad enough that mr . m doesn't like tracy's determination to win at all costs , but did they have to throw in the student/teacher relationship ?",positive
"even so , there's no logical reason why mr . m has an affair when he does .",positive
"there's a lot to like in _election_ , but the plot similarities to _rushmore_ , and the tonal nosedive it takes as it gets explicitly sex-driven , mark this as a disappointment .",positive
you've got mail works alot better than it deserves to .,positive
"in order to make the film a success , all they had to do was cast two extremely popular and attractive stars , have them share the screen for about two hours and then collect the profits .",positive
"no real acting was involved and there is not an original or inventive bone in it's body ( it's basically a complete re-shoot of the shop around the corner , only adding a few modern twists ) .",positive
"essentially , it goes against and defies all concepts of good contemporary filmmaking .",positive
"it's overly sentimental and at times terribly mushy , not to mention very manipulative .",positive
"but oh , how enjoyable that manipulation is .",positive
